year,Dominican Rep.,Mexico,Philippines,Greece,Japan,United States of America,Uruguay,Italy,Ethiopia,Guatemala,Venezuela,Switzerland,Jordan,Spain,Brazil,Egypt,Argentina,Lebanon,Ireland,Turkey,Paraguay,Iran,United Kingdom,Colombia,Bolivia,Nicaragua,Netherlands,Belgium,Canada,Australia,Pakistan,Zambia,Sweden,Costa Rica,Cambodia,Israel,Poland,Taiwan,Panama,Kuwait,Austria,Czechoslovakia,India,France,Brunei,Zaire,Portugal,Algeria,El Salvador,Thailand,Haiti,Sudan,Morocco,Cyprus,Myanmar,Afghanistan,Peru,Chile,Honduras,Yugoslavia,Ecuador,New Zealand,Malaysia,Singapore,Botswana,Jamaica,Chad,Andorra,Syria,South Korea,United Arab Emirates,South Africa,Kenya,Iraq,Somalia,Tanzania,Sri Lanka,Namibia,Bahamas,Nigeria,Barbados,Trinidad and Tobago,Bangladesh,Angola,Mauritania,Saudi Arabia,Djibouti,Indonesia,Malta,Rhodesia,Denmark,Western Sahara,Guyana,Mozambique,Tunisia,Uganda,Norway,Lesotho,Gabon,Libya,Bahrain,Hong Kong,Senegal,Zimbabwe,Guinea,Grenada,New Hebrides,Belize,Guadeloupe,Martinique,Vatican City,Albania,Central African Republic,Seychelles,Dominica,Qatar,Bulgaria,Suriname,Swaziland,Luxembourg,Iceland,French Guiana,Falkland Islands,Burkina Faso,New Caledonia,Romania,Niger,Nepal,Togo,Finland,Fiji,Ghana,Maldives,Mauritius,Hungary,Laos,Papua New Guinea,China,Liberia,Congo,Mali,Rwanda,Sierra Leone,Cameroon,Cuba,Croatia,Azerbaijan,Madagascar,Burundi,Armenia,Azerbaijan,Belarus,Estonia,Georgia,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Moldova,Russia,Tajikistan,Turkmenistan,Ukraine,Uzbekistan,C么te d'Ivoire,Antigua and Barbuda,Bosnia and Herz.,Eq. Guinea,Malawi,Comoros,Benin,Slovakia,Macedonia,Wallis and Futuna,Czechia,Slovenia,Gambia,North Korea,Eritrea,St. Kitts and Nevis,French Polynesia,Macau,Vanuatu,Dem. Rep. Congo,Kosovo,Solomon Is.,Timor-Leste,St. Lucia,Guinea-Bissau,Montenegro,International,Serbia-Montenegro,Bhutan,Serbia,S. Sudan,Germany,Yemen,Palestine,Vietnam,Soviet Union
2000,0,4,132,28,13,32,0,8,1,1,0,4,2,112,2,0,0,12,0,35,2,15,61,137,0,1,1,0,5,1,48,8,1,0,4,15,0,0,1,0,0,0,179,28,0,0,0,138,0,4,9,7,0,2,0,14,3,2,0,14,4,0,3,0,0,0,0,0,0,0,0,21,4,10,9,2,68,21,0,6,0,0,23,22,0,5,0,101,0,0,0,0,0,3,1,20,0,0,0,0,0,2,4,1,12,0,0,1,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,8,0,4,1,0,0,1,24,0,0,2,1,0,16,2,,0,0,7,1,4,3,0,1,138,6,0,1,0,2,0,6,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,3,60,0,4,1,0,0,0,0,0,0,0,8,10,28,0,0
2001,0,7,50,14,3,41,0,11,0,2,5,2,2,79,3,0,2,5,2,19,0,4,94,207,0,0,1,0,0,2,53,0,0,1,7,79,1,2,0,2,0,0,234,21,0,0,0,113,0,14,5,9,0,1,3,14,3,3,0,20,5,1,1,0,0,0,0,0,0,1,0,0,7,3,5,4,36,6,0,5,0,0,15,40,0,3,0,105,0,0,0,0,1,0,1,24,1,0,0,0,0,1,8,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,1,1,0,12,3,1,0,2,0,0,0,3,4,0,37,2,,1,1,4,1,1,0,0,0,135,6,0,0,0,1,0,2,0,0,0,0,0,67,0,1,0,0,0,0,0,0,0,0,5,16,0,0,0,1,1,0,0,0,0,0,8,7,122,4,0
2002,0,0,48,11,2,33,0,7,3,0,5,0,2,41,1,0,0,8,0,5,0,0,21,150,0,0,2,3,0,0,46,1,0,0,3,75,0,0,0,1,0,0,184,32,0,0,0,132,0,12,2,13,0,0,4,38,2,1,1,3,2,0,0,0,0,0,4,0,0,0,0,8,2,6,3,2,3,0,0,6,0,0,5,6,0,2,0,43,0,0,0,0,1,0,1,24,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,1,5,18,0,,0,0,2,0,2,0,0,0,89,0,1,3,0,1,0,3,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0,0,0,1,0,0,0,0,3,7,86,0,0
2003,0,1,107,12,2,33,0,15,1,3,8,1,0,21,1,0,1,5,1,19,0,2,23,98,1,0,3,8,0,0,29,0,0,0,1,37,0,0,0,3,0,0,196,34,0,0,0,75,0,6,5,0,5,0,9,100,1,2,0,0,4,3,0,0,0,0,0,0,0,1,0,0,2,102,1,0,9,0,0,9,0,0,4,0,0,8,0,18,0,0,0,0,1,0,0,30,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,0,0,18,0,,0,0,6,0,1,0,0,0,76,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6,9,1,2,0,1,0,0,6,0,0,0,2,7,45,0,0
2004,0,1,32,4,0,9,0,3,2,2,0,0,0,31,0,3,0,1,0,27,0,0,5,37,0,0,1,0,2,0,67,0,0,0,0,19,0,2,0,0,0,0,108,11,0,0,0,66,0,44,2,5,0,1,2,88,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,323,1,1,33,0,0,6,0,0,11,0,1,17,1,17,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,3,0,0,0,0,0,44,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,3,0,34,0,0
2005,0,1,25,6,0,20,1,6,5,0,0,0,4,24,0,2,3,15,0,41,0,5,24,42,1,0,0,0,0,0,73,0,2,0,0,43,0,0,0,2,0,0,146,31,0,0,0,102,0,151,1,6,0,0,8,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,586,6,0,129,0,0,9,0,2,23,0,1,1,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,5,0,,0,0,6,0,2,0,0,0,62,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,0,4,0,0,2,0,0,0,3,7,36,0,0
2006,0,7,58,23,0,6,0,4,11,4,0,0,1,23,3,5,0,8,1,43,0,14,6,43,0,0,0,0,2,2,164,0,1,0,0,81,0,0,0,0,1,0,167,34,0,0,0,152,0,202,1,24,0,0,2,282,1,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,2,838,10,0,217,0,0,37,0,0,23,0,0,3,0,10,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,,1,0,3,0,3,0,0,1,56,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,1,0,0,2,1,0,0,4,5,35,0,0
2007,0,10,65,15,0,8,0,0,5,0,2,2,0,11,0,0,0,18,1,29,0,9,20,30,3,0,0,1,0,0,260,0,0,0,0,53,0,0,0,0,1,0,149,16,0,0,0,124,0,292,2,23,6,1,3,341,4,8,0,0,0,0,0,0,0,1,7,0,0,0,0,2,12,1046,156,0,132,0,0,60,0,0,9,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,90,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,1,1,0,1,0,3,1,,0,0,0,0,1,1,0,0,51,1,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,11,5,0,2,0,0,1,0,0,0,0,0,3,7,88,0,0
2008,0,8,276,53,3,18,0,2,8,0,1,0,0,37,0,1,0,58,5,32,0,8,39,133,0,0,1,0,5,3,568,0,1,0,2,134,0,1,0,0,7,0,534,13,0,0,0,107,0,200,0,32,0,0,20,414,1,4,0,0,2,5,2,0,0,0,8,0,1,0,0,1,11,1106,172,1,100,0,0,76,0,0,19,0,2,0,0,13,0,0,1,0,3,0,2,7,0,0,0,1,1,1,2,5,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,1,9,120,0,1,0,0,1,0,2,0,0,20,1,0,9,1,0,1,0,2,2,0,7,0,,1,0,33,1,0,0,0,0,170,0,0,1,0,0,0,4,0,0,0,0,0,9,0,2,0,0,0,2,0,0,0,0,20,11,0,1,0,0,0,0,0,3,4,0,3,22,63,0,0
2009,0,1,229,115,1,11,0,4,2,0,3,0,0,21,0,2,1,14,0,13,0,15,23,139,3,0,1,1,4,1,667,0,1,0,0,36,0,0,1,0,3,0,672,9,0,0,0,108,0,298,0,26,0,0,14,503,4,8,8,0,1,0,1,0,0,0,3,0,0,0,0,0,1,1137,122,0,37,0,0,42,0,0,27,1,5,3,0,19,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,0,0,1,0,0,7,0,0,6,1,0,1,0,1,2,1,0,1,,0,0,25,0,0,0,0,1,152,1,0,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,54,1,0,0,0,1,0,0,0,0,3,0,4,23,10,0,0
